N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
117,동서,"29,050",50,+0.17%,500,"28,963","99,700",3.37,"57,439",26.80,8.61,
118,대우조선해양,"26,950",100,+0.37%,"5,000","28,915","107,291",7.46,"322,729",-7.40,2.27,
119,대우건설,"6,940",110,+1.61%,"5,000","28,844","415,623",10.86,"1,594,293",7.80,11.06,
120,만도,"60,600",200,+0.33%,"1,000","28,456","46,957",24.77,"317,090",12.00,0.37,
121,LG화학우,"368,000","2,000",+0.55%,"5,000","28,295","7,689",68.15,"9,622",9.91,N/A,
122,OCI,"115,000","7,000",+6.48%,"5,000","27,427","23,849",14.98,"738,598",94.73,-9.89,
123,휠라홀딩스,"45,100",650,-1.42%,"1,000","27,399","60,752",47.22,"431,094",11.37,10.94,
124,포스코인터내셔널,"21,650",150,+0.70%,"5,000","26,711","123,375",11.72,"690,475",9.06,7.69,
125,제일기획,"23,000",0,0.00%,200,"26,459","115,041",33.85,"216,372",14.15,16.11,
126,현대로템,"24,100",150,+0.63%,"5,000","26,303","109,142",5.07,"1,246,745",77.49,2.84,
127,DB하이텍,"58,800",200,-0.34%,"5,000","26,106","44,399",17.14,"444,933",15.63,23.07,
128,한샘,"110,500","1,500",-1.34%,"1,000","26,005","23,534",19.96,"85,917",31.28,10.83,
129,효성첨단소재,"574,000","29,000",+5.32%,"5,000","25,715","4,480",12.09,"114,621",17.49,0.03,
130,신세계,"261,000","1,000",-0.38%,"5,000","25,696","9,845",27.18,"53,365",-80.38,-2.81,
131,DL이앤씨,"132,000",500,+0.38%,"5,000","25,554","19,359",26.98,"88,503",N/A,N/A,
132,BNK금융지주,"7,740",140,+1.84%,"5,000","25,227","325,935",38.39,"906,769",4.39,6.11,
133,한화,"33,300",750,+2.30%,"5,000","24,961","74,959",17.58,"1,152,800",6.40,4.79,
134,더존비즈온,"82,000","1,300",+1.61%,500,"24,879","30,341",39.11,"75,722",39.96,15.09,
135,한화에어로스페이스,"48,450",150,+0.31%,"5,000","24,530","50,630",19.52,"245,841",9.37,4.78,
136,효성,"116,000","3,500",+3.11%,"5,000","24,442","21,071",9.32,"66,319",86.70,-2.26,
137,현대차우,"98,600",200,+0.20%,"5,000","24,016","24,357",58.73,"50,195",7.14,N/A,
